애플 앱스토어 랭킹,,,,,,,,,구글 플레이 랭킹
AppAnnie (2019-11-30),,,Top Free,,Top Grossing,,,,
랭킹,게임명,회사,Apple App Store,Google Play,게임명,회사,Apple App Store,Google Play,
1,Turbo Stars,SayGames,,,Coin Master,Moon Active,,,
2,Ink Inc. - Tattoo Drawing,Lion Studios,,,Roblox,Roblox,,,
3,Five Hoops,Voodoo,,,MARVEL Contest of Champions,Kabam,,,
4,Pocket World 3D -unique models,Minimonster Game,,,Clash of Clans,Supercell,,,
5,Bikes Hill,Voodoo,,,Candy Crush Saga,King,,,
6,Push'em all,Voodoo,,,Golf Clash,Playdemic,,,
7,Lucky Goal - Funny every day,Lucky Go,,,Gardenscapes,Playrix,,,
8,Big Battle 3D,Kwalee,,,Homescapes,Playrix,,,
9,Rusty Blower 3D,ZPLAY,,,8 Ball Pool™,Miniclip,,,
10,2048 Balls 3D,Voodoo,,,Call of Duty®: Mobile,Activision Publishing,,,
11,Square Bird.,Moonee,,,WWE SuperCard,2K Games,,,
12,Super Brain - Funny Puzzle,Eyu,,,Clash Royale,Supercell,,,
13,Call of Duty®: Mobile,Activision Publishing,,,Toon Blast,Peak Games,,,
14,Pokey Ball,Voodoo,,,DRAGON BALL LEGENDS,BANDAI NAMCO Entertainment,,,
15,Stencil Art - Spray Masters,Lion Studios,,,Pokémon GO,Niantic,,,
16,Subway Surfers,Kiloo,,,PUBG MOBILE,Tencent,,,
17,Rescue Cut - Rope Puzzle,MarkApp,,,Football Manager 2020 Mobile,SEGA,,,
18,Pimp My Car,Ceyhun Tasci,,,Kim Kardashian: Hollywood,Glu,,,
19,Idle Landmarks,ZPLAY,,,Game of Thrones: Conquest™,Warner Bros,,,
20,Cannon Shot!,SayGames,,,King of Avalon: Dragon Warfare,FunPlus,,,
21,BlockuDoku - Block Puzzle,Easybrain,,,Empires & Puzzles: RPG Quest,Small Giant Games,,,
22,Icing on the Cake,Lion Studios,,,RAID: Shadow Legends,Plarium,,,
23,Mario Kart Tour,Nintendo,,,Guns of Glory: Empires Conquer,FunPlus,,,
24,Roblox,Roblox,,,Merge Dragons!,Gram Games,,,
25,Sand Balls,SayGames,,,Hero Wars - Fantasy World,Nexters,,,
26,Stump Me,KOOLBEN,,,Fortnite,Epic Games,,,
27,Magic Tiles 3: Piano Game,Amanotes,,,Episode - Choose Your Story,Episode Interactive,,,
28,Brain Out,Eyewind,,,Candy Crush Soda Saga,King,,,
29,Dancing Road: Color Ball Run!,Amanotes,,,Rise ofKingdoms,Lilith,,,
30,aquapark.io,Voodoo,,,Toy Blast,Peak Games,,,
31,Sandwich!,Popcore,,,FIFA Soccer,Electronic Arts,,,
